1992/08/01???03:17:16,122.68,34.55,3.1,黄海
1992/07/30???19:47:00,116,37.07,3.8,山东夏津北
1992/07/22???05:43:01,117.8,39.5,4.6,天津宁河北
1992/07/01???08:56:54,120.83,35.15,3.3,黄海
1992/06/30???16:58:18,122.92,37.85,3.2,黄海
1992/06/24???11:55:20,114.7,37.27,3.5,河北省临城
1992/06/07???08:38:04,121.25,37.17,3,山东牟平西南
1992/06/01???17:02:30,123.6,36.73,3.9,黄海
1992/05/29???12:43:07,120.88,37.57,3.1,山东蓬莱东南
1992/05/19???23:45:49,121.05,37.65,3.1,山东蓬莱东南
1992/05/17???09:42:06,121.42,32.53,3.1,黄海
1992/05/10???15:22:58,122.87,37.5,3.2,黄海
1992/04/24???02:20:38,121.1,35.37,3,黄海
1992/04/10???05:32:08,123.3,36.62,3.2,黄海
1992/03/26???03:21:22,123.8,37.17,3.8,黄海
1992/03/25???17:00:38,122.17,33.97,3.4,黄海
1995/05/20???20:54:49,121.67,32.58,4.2,南黄海
1995/02/27???21:52:51,120.63,37.12,3.6,山东莱阳西北
1995/02/11???00:09:05,122.13,37.75,3.2,黄海
1995/02/03???06:99:49,122.85,35.5,3.1,黄海
1994/12/24???10:31:22,121.87,37.6,3.2,山东威海西北海域
1994/12/18???22:19:19,122.55,39.17,3.8,长山列岛
1994/12/01???23:42:16,123.57,37.5,4.2,北黄海
1994/11/15???00:12:53,120.72,37.8,3.7,山东篷莱西北海域
1994/11/08???06:47:53,121.63,35.05,4.5,黄海
1994/11/08???06:51:38,121.25,35.07,3.8,黄海
1994/11/04???00:10:09,121.65,35.03,3.6,黄海
1994/11/01???09:55:54,119.78,38.37,3.7,渤海
1994/10/06???20:04:29,120.42,38.08,3.6,渤海
1994/09/30???05:11:30,121.67,38.53,3.5,北黄海
1994/09/12???15:22:58,121.98,40.05,4.6,辽宁省熊岳
1994/07/26???01:41:46,124.38,35.03,5.6,黄海
1994/07/24???14:38:56,120.83,33.5,3.9,黄海
